# file: data/zenodo_5790768/Enoki fungi Flammulina velutipes.txt
# species: Enoki_fungi_Flammulina_velutipes
# channel: diff_1
# timestamp: 2025-08-22T00:39:11
# fs_hz: 1.0
# taus: 5.5,24.5,104.0
time_s,tau_5.5,tau_24.5,tau_104,tau_5.5_norm,tau_24.5_norm,tau_104_norm
0.0,2058.342106374156,43959.189512590325,730742.8486268676,0.0026499061470188837,0.05659298624200934,0.9407571076109718
4212.054687500001,511825.7158226401,760304.4231417527,1586407.4506463166,0.1790515953622087,0.26597670987607863,0.5549716947617127
16848.218750000004,216841.8168535115,975036.5044097351,5736394.348882182,0.031298106638888955,0.14073298653663824,0.8279689068244729
37908.49218750001,10618712.066593455,8406662.428831052,27674987.04198105,0.22737965439706911,0.18001279116645752,0.5926075544364733
67392.87500000001,25706257.87623294,24767774.02690606,119707259.61054297,0.15105219644056028,0.14553758410579942,0.7034102194536404
105301.36718750003,91813195.33782274,156189227.42951035,364496438.90828127,0.14989937301540315,0.2550032942138426,0.5950973327707543
151633.96875000003,449013579.84998393,734577616.7005972,710623608.9091575,0.23704469976466336,0.38780058871005935,0.37515471152527735
206390.67968750003,1198948979.894576,1150083133.9609733,908812520.2576904,0.368019078423892,0.3530196381737575,0.27896128340235055
269571.50000000006,734777192.1129079,602515016.7486751,891883928.1371021,0.3296182746250802,0.2702859620415139,0.400095763333406
341176.42968750006,571059703.528088,670382749.7013588,858536425.0210623,0.2719359272812484,0.31923309164892844,0.4088309810698231
421205.4687500001,401643924.2942844,446968157.9884805,1033299972.356338,0.21342332299970748,0.23750746316049093,0.5490692138398016
509658.6171875001,938099847.3939403,958608630.5486155,1637412596.9866803,0.26544077792035575,0.2712438567396307,0.46331536534001344
606535.8750000001,1954253383.3103411,2636451197.763041,2471656460.2323527,0.276713888157299,0.37331016955139934,0.34997594229130163
711837.2421875001,2647530155.884765,2841931440.017422,2806405255.372664,0.31913845814411923,0.3425719687847562,0.3382895730711246
825562.7187500001,1815252953.3502192,2006444116.1855333,2506235085.104638,0.28686352966332934,0.31707737490740484,0.3960590954292658
947712.3046875002,524380606.16207004,1108876780.898101,2073745147.5966752,0.1414567703311839,0.29913030016332287,0.5594129295054933
