# file: data/zenodo_5790768/Cordyceps militari.txt
# species: Cordyceps_militari
# channel: diff_1
# timestamp: 2025-08-22T00:41:09
# fs_hz: 1.0
# taus: 5.5,24.5,104.0
time_s,tau_5.5,tau_24.5,tau_104,tau_5.5_norm,tau_24.5_norm,tau_104_norm
0.0,1196.2781170499375,1214173.9570848779,22002927.383199587,5.152307618375237e-05,0.05229384070443614,0.9476546362193801
7417.382812500001,2887481.690898461,17571639.650350746,67759179.48583853,0.03273109619916698,0.19918361026689957,0.7680852935339335
29669.531250000004,100677112.37503421,127329402.23421842,151524915.4907983,0.2652668643239745,0.3354910611768101,0.3992420744992154
66756.44531250001,233620139.72860345,290849145.4005074,171102308.22899172,0.33586785596105895,0.4181440820438579,0.24598806199508316
118678.12500000001,31496528.70555033,47624888.87246103,82908590.93186988,0.19438700889551297,0.29392634926360983,0.5116866418408771
185434.5703125,7070473.446026084,9852930.696431879,40571082.73423212,0.12297654662420611,0.17137174765232213,0.7056517057234718
267025.78125000006,49072645.66736588,50787928.705128334,103915185.73351242,0.24081689422646585,0.24923439705835393,0.5099487087151803
363451.75781250006,210057181.02159557,202722204.76444817,357634030.06475705,0.27265514423787696,0.26313431281641597,0.4642105429457071
474712.50000000006,633375784.429601,761215024.2547362,962213841.1924387,0.2687434380540265,0.3229860499021571,0.4082705120438164
600808.0078125001,1174659953.0763154,1404653389.381302,1970060322.7515051,0.2582025657860134,0.30875753295959124,0.43303990125439534
741738.28125,3384927031.366066,3450709496.952432,3331555761.3332067,0.3329264299261151,0.33939650187049253,0.3276770682033924
897503.3203125,3336367816.3265977,3963794764.807291,4112137979.6176534,0.2923484006196631,0.347326531027348,0.36032506835298894
1068103.1250000002,2684806710.342878,3008663192.674876,3805087465.735177,0.28265415537468797,0.31674948898791405,0.4005963556373981
1253537.6953125002,1787176272.5660672,1876061927.1869292,2934429496.117845,0.27088000714018584,0.28435229139549795,0.4447677014643161
1453807.0312500002,1469821279.6651325,1918464277.9295232,2282504749.3016133,0.259191611771939,0.3383063337038705,0.4025020545241906
1668911.1328125002,1740169060.1475039,1878736961.7139494,2047623866.3752651,0.30709607016455726,0.33154981951371393,0.36135411032172887
