species,run_dir,snr_sqrt,snr_stft,conc_sqrt,conc_stft,snr_ratio_sqrt_over_stft,conc_ratio_sqrt_over_stft
Schizophyllum_commune,results/zenodo/Schizophyllum_commune/2025-08-22T00:38:41,689.4899348357262,22019410.73239449,0.05665017161739626,0.02725746239415899,3.131282409030884e-05,2.0783362294377596
Enoki_fungi_Flammulina_velutipes,results/zenodo/Enoki_fungi_Flammulina_velutipes/2025-08-22T00:39:11,18.71384768668309,56971757.623350255,0.025987286949525023,0.013842836515039543,3.2847587063057525e-07,1.877309388174442
Ghost_Fungi_Omphalotus_nidiformis,results/zenodo/Ghost_Fungi_Omphalotus_nidiformis/2025-08-22T00:16:33,315.76667441633157,10873317.475290664,0.022571242652503203,0.016478744916032965,2.904050903819412e-05,1.369718553636499
Cordyceps_militari,results/zenodo/Cordyceps_militari/2025-08-22T00:41:09,364.2788205400272,38772791.529270336,0.02872225050442339,0.025170658466669698,9.395217784745445e-06,1.1411004818294885
