# file: data/zenodo_5790768/Schizophyllum commune.txt
# species: Schizophyllum_commune
# channel: diff_1
# timestamp: 2025-08-30T13:20:06
# fs_hz: 1.0
# taus: 5.5,24.5,104.0
time_s,tau_5.5,tau_24.5,tau_104,tau_5.5_norm,tau_24.5_norm,tau_104_norm
0.0,30667487.445031255,50263944.22335888,750314.2818367839,0.3754509295592018,0.6153632447326409,0.009185825708157498
64.3291015625,675823.6648047157,94079133.8587643,611955.1033520798,0.0070865633183341365,0.9864965874150227,0.006416849266643147
257.31640625,2546846.3451662725,1194621.5265070675,602775.770120968,0.586257713693596,0.27498953212800276,0.1387527541784012
578.9619140625,352118.9846560098,42481283.11523449,792695.5369654942,0.008071292270673651,0.9737584935707302,0.018170214158596043
1029.265625,12687787.991049478,9193825.405695029,1129987.3547379351,0.5513648584500196,0.3995300242249662,0.04910511732501442
1608.2275390625002,29312686.565294404,3951671.964924133,1429729.9771528437,0.8448899459937216,0.11390044053425785,0.04120961347202051
2315.84765625,2228120.031960029,5061547.036996926,1486097.0388919087,0.2538947041622557,0.5767642537781961,0.16934104205954828
3152.1259765624995,3437295.3903425066,1884993.2877809883,1310213.7402625785,0.5182501525840264,0.2842054429645689,0.19754440445140475
4117.0625,11815502.919147428,11280911.14818668,1030926.4631506872,0.4897142685170207,0.46755717373546807,0.042728557747511206
5210.657226562501,21920965.50026236,1672182.5321437225,836536.4072426124,0.8973085818777604,0.06844879786616552,0.034242620256074094
6432.910156250001,10034891.06299793,2673553.0573665327,845114.5909650967,0.7403879141062533,0.19725838167740273,0.062353704216344064
7783.8212890625,4985089.773446643,1991398.397068347,1058369.8050450569,0.6204328425729481,0.2478448782947582,0.1317222791322937
9263.390625,18504773.218962595,2459211.144551011,1382750.263885972,0.8280750421707559,0.11004789673099466,0.06187706109824954
10871.618164062502,9314336.174510546,3437358.045997785,1678467.475292641,0.6454769094667124,0.23820648156687116,0.11631660896641634
12608.503906249998,16320236.699233185,2495470.305448426,1795083.8181057407,0.7918297186922825,0.12107591246277782,0.08709436884493975
14474.0478515625,13157359.958013788,2270902.2223824393,1695199.7847550975,0.7683820003683182,0.13261933988606087,0.09899865974562093
16468.25,3416091.5342806387,2935863.5571515393,1452887.0464520943,0.43768874167218824,0.3761592490001841,0.18615200932762765
18591.1103515625,889282.9972622398,1777270.7341696862,1208966.558504059,0.22946157695820726,0.4585889380543129,0.3119494849874798
20842.628906250004,4887763.828600642,1847046.7061730777,1092442.4220793238,0.62445456350318,0.23597636570004055,0.13956907079677944
23222.805664062504,2123478.735257399,2204693.5139809675,1174399.1260367876,0.385906622638078,0.40066604567591324,0.21342733168600878
25731.640625000004,1427676.9758204638,1760484.7588983674,1423386.6827521324,0.3095873330553518,0.3817556706612313,0.3086569962834169
28369.133789062496,3126152.3512124387,2207006.1940748715,1738447.210230483,0.4420710739952071,0.31209406609705315,0.2458348599077398
31135.28515625,12761037.299145874,2193948.858928095,1963181.0478985447,0.7542801264336083,0.129680055304902,0.11603981826148964
34030.0947265625,2544651.7803326105,2870955.8512436664,1995557.3343369388,0.3433538171173409,0.3873825322264841,0.26926365065617497
37053.5625,21166454.491857026,2186222.926742106,1815180.1465308357,0.8410113748093965,0.08686567464411889,0.07212295054648454
40205.6884765625,15771968.77391603,2379613.1204743893,1510327.3682362786,0.802158557607391,0.12102655386562847,0.07681488852698068
43486.47265625001,17817583.639866315,1731449.8285172924,1235237.3594997532,0.8572628689943237,0.08330577689521095,0.05943135411046547
46895.91503906251,11526116.854120718,1168558.8527453376,1138266.235206622,0.8332368416196567,0.0844765240567651,0.08228663432357819
50434.01562499999,12044892.346164856,3535089.122535244,1283005.4244602455,0.7142798854365642,0.20963600013050365,0.07608411443293207
